ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO POPULAR CRISTIANO - PPC,5,0.352%,0.273%,ANCASH,CARHUAZ,TINCO
FUERZA POPULAR,299,21.071%,16.330%,ANCASH,CARHUAZ,TINCO
UNION POR EL PERU,4,0.282%,0.218%,ANCASH,CARHUAZ,TINCO
RENOVACION POPULAR,65,4.581%,3.550%,ANCASH,CARHUAZ,TINCO
RENACIMIENTO UNIDO NACIONAL,7,0.493%,0.382%,ANCASH,CARHUAZ,TINCO
PARTIDO DEMOCRATICO SOMOS PERU,15,1.057%,0.819%,ANCASH,CARHUAZ,TINCO
PARTIDO POLITICO NACIONAL PERU LIBRE,543,38.266%,29.656%,ANCASH,CARHUAZ,TINCO
DEMOCRACIA DIRECTA,2,0.141%,0.109%,ANCASH,CARHUAZ,TINCO
ALIANZA PARA EL PROGRESO,65,4.581%,3.550%,ANCASH,CARHUAZ,TINCO
PARTIDO NACIONALISTA PERUANO,40,2.658%,2.093%,ANCASH,CARHUAZ,YUNGAR
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",15,0.997%,0.785%,ANCASH,CARHUAZ,YUNGAR
PARTIDO MORADO,10,0.664%,0.523%,ANCASH,CARHUAZ,YUNGAR
PERU PATRIA SEGURA,3,0.199%,0.157%,ANCASH,CARHUAZ,YUNGAR
VICTORIA NACIONAL,37,2.458%,1.936%,ANCASH,CARHUAZ,YUNGAR
ACCION POPULAR,79,5.249%,4.134%,ANCASH,CARHUAZ,YUNGAR
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,58,3.854%,3.035%,ANCASH,CARHUAZ,YUNGAR
PODEMOS PERU,19,1.262%,0.994%,ANCASH,CARHUAZ,YUNGAR
JUNTOS POR EL PERU,74,4.917%,3.872%,ANCASH,CARHUAZ,YUNGAR
PARTIDO POPULAR CRISTIANO - PPC,7,0.465%,0.366%,ANCASH,CARHUAZ,YUNGAR
FUERZA POPULAR,300,19.934%,15.699%,ANCASH,CARHUAZ,YUNGAR
UNION POR EL PERU,5,0.332%,0.262%,ANCASH,CARHUAZ,YUNGAR
RENOVACION POPULAR,71,4.718%,3.715%,ANCASH,CARHUAZ,YUNGAR
RENACIMIENTO UNIDO NACIONAL,6,0.399%,0.314%,ANCASH,CARHUAZ,YUNGAR
PARTIDO DEMOCRATICO SOMOS PERU,31,2.060%,1.622%,ANCASH,CARHUAZ,YUNGAR
PARTIDO POLITICO NACIONAL PERU LIBRE,691,45.914%,36.159%,ANCASH,CARHUAZ,YUNGAR
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CARHUAZ,YUNGAR
ALIANZA PARA EL PROGRESO,59,3.920%,3.087%,ANCASH,CARHUAZ,YUNGAR
PARTIDO NACIONALISTA PERUANO,63,1.924%,1.223%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",357,10.901%,6.932%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PARTIDO MORADO,24,0.733%,0.466%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PERU PATRIA SEGURA,6,0.183%,0.117%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
VICTORIA NACIONAL,53,1.618%,1.029%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
ACCION POPULAR,246,7.511%,4.777%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,240,7.328%,4.660%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PODEMOS PERU,36,1.099%,0.699%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
JUNTOS POR EL PERU,425,12.977%,8.252%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PARTIDO POPULAR CRISTIANO - PPC,19,0.580%,0.369%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
FUERZA POPULAR,220,6.718%,4.272%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
UNION POR EL PERU,13,0.397%,0.252%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
RENOVACION POPULAR,66,2.015%,1.282%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
RENACIMIENTO UNIDO NACIONAL,15,0.458%,0.291%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PARTIDO DEMOCRATICO SOMOS PERU,72,2.198%,1.398%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PARTIDO POLITICO NACIONAL PERU LIBRE,1343,41.008%,26.078%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
DEMOCRACIA DIRECTA,4,0.122%,0.078%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
ALIANZA PARA EL PROGRESO,73,2.229%,1.417%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS
PARTIDO NACIONALISTA PERUANO,18,1.954%,1.099%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",15,1.629%,0.916%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PARTIDO MORADO,10,1.086%,0.611%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PERU PATRIA SEGURA,4,0.434%,0.244%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
VICTORIA NACIONAL,7,0.760%,0.427%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
ACCION POPULAR,136,14.767%,8.303%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,51,5.537%,3.114%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PODEMOS PERU,10,1.086%,0.611%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
JUNTOS POR EL PERU,47,5.103%,2.869%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PARTIDO POPULAR CRISTIANO - PPC,7,0.760%,0.427%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
FUERZA POPULAR,50,5.429%,3.053%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
UNION POR EL PERU,4,0.434%,0.244%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
RENOVACION POPULAR,11,1.194%,0.672%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
RENACIMIENTO UNIDO NACIONAL,14,1.520%,0.855%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PARTIDO DEMOCRATICO SOMOS PERU,33,3.583%,2.015%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PARTIDO POLITICO NACIONAL PERU LIBRE,477,51.792%,29.121%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
ALIANZA PARA EL PROGRESO,27,2.932%,1.648%,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
PARTIDO NACIONALISTA PERUANO,35,2.542%,1.592%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",44,3.195%,2.002%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PARTIDO MORADO,25,1.816%,1.137%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PERU PATRIA SEGURA,6,0.436%,0.273%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
VICTORIA NACIONAL,16,1.162%,0.728%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
ACCION POPULAR,79,5.737%,3.594%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,95,6.899%,4.322%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PODEMOS PERU,26,1.888%,1.183%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
JUNTOS POR EL PERU,110,7.988%,5.005%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PARTIDO POPULAR CRISTIANO - PPC,6,0.436%,0.273%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
FUERZA POPULAR,77,5.592%,3.503%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
UNION POR EL PERU,7,0.508%,0.318%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
RENOVACION POPULAR,46,3.341%,2.093%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
RENACIMIENTO UNIDO NACIONAL,15,1.089%,0.682%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PARTIDO DEMOCRATICO SOMOS PERU,46,3.341%,2.093%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PARTIDO POLITICO NACIONAL PERU LIBRE,706,51.271%,32.120%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
DEMOCRACIA DIRECTA,8,0.581%,0.364%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
ALIANZA PARA EL PROGRESO,30,2.179%,1.365%,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA
PARTIDO NACIONALISTA PERUANO,12,0.636%,0.480%,ANCASH,CASMA,BUENA VISTA ALTA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8,0.424%,0.320%,ANCASH,CASMA,BUENA VISTA ALTA
PARTIDO MORADO,10,0.530%,0.400%,ANCASH,CASMA,BUENA VISTA ALTA
PERU PATRIA SEGURA,4,0.212%,0.160%,ANCASH,CASMA,BUENA VISTA ALTA
VICTORIA NACIONAL,85,4.507%,3.403%,ANCASH,CASMA,BUENA VISTA ALTA
ACCION POPULAR,137,7.264%,5.484%,ANCASH,CASMA,BUENA VISTA ALTA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,142,7.529%,5.685%,ANCASH,CASMA,BUENA VISTA ALTA
PODEMOS PERU,67,3.552%,2.682%,ANCASH,CASMA,BUENA VISTA ALTA
JUNTOS POR EL PERU,107,5.673%,4.283%,ANCASH,CASMA,BUENA VISTA ALTA
PARTIDO POPULAR CRISTIANO - PPC,1,0.053%,0.040%,ANCASH,CASMA,BUENA VISTA ALTA
FUERZA POPULAR,493,26.140%,19.736%,ANCASH,CASMA,BUENA VISTA ALTA
UNION POR EL PERU,5,0.265%,0.200%,ANCASH,CASMA,BUENA VISTA ALTA
RENOVACION POPULAR,90,4.772%,3.603%,ANCASH,CASMA,BUENA VISTA ALTA
RENACIMIENTO UNIDO NACIONAL,11,0.583%,0.440%,ANCASH,CASMA,BUENA VISTA ALTA
PARTIDO DEMOCRATICO SOMOS PERU,50,2.651%,2.002%,ANCASH,CASMA,BUENA VISTA ALTA
PARTIDO POLITICO NACIONAL PERU LIBRE,488,25.875%,19.536%,ANCASH,CASMA,BUENA VISTA ALTA
DEMOCRACIA DIRECTA,4,0.212%,0.160%,ANCASH,CASMA,BUENA VISTA ALTA
ALIANZA PARA EL PROGRESO,172,9.120%,6.886%,ANCASH,CASMA,BUENA VISTA ALTA
PARTIDO NACIONALISTA PERUANO,119,0.829%,0.660%,ANCASH,CASMA,CASMA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",61,0.425%,0.338%,ANCASH,CASMA,CASMA
PARTIDO MORADO,170,1.184%,0.943%,ANCASH,CASMA,CASMA
PERU PATRIA SEGURA,42,0.293%,0.233%,ANCASH,CASMA,CASMA
VICTORIA NACIONAL,808,5.628%,4.484%,ANCASH,CASMA,CASMA
ACCION POPULAR,1011,7.041%,5.610%,ANCASH,CASMA,CASMA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1061,7.390%,5.888%,ANCASH,CASMA,CASMA
PODEMOS PERU,1071,7.459%,5.943%,ANCASH,CASMA,CASMA
JUNTOS POR EL PERU,748,5.210%,4.151%,ANCASH,CASMA,CASMA
PARTIDO POPULAR CRISTIANO - PPC,88,0.613%,0.488%,ANCASH,CASMA,CASMA
FUERZA POPULAR,3560,24.795%,19.755%,ANCASH,CASMA,CASMA
UNION POR EL PERU,54,0.376%,0.300%,ANCASH,CASMA,CASMA
RENOVACION POPULAR,1614,11.241%,8.956%,ANCASH,CASMA,CASMA
RENACIMIENTO UNIDO NACIONAL,45,0.313%,0.250%,ANCASH,CASMA,CASMA
PARTIDO DEMOCRATICO SOMOS PERU,223,1.553%,1.237%,ANCASH,CASMA,CASMA
PARTIDO POLITICO NACIONAL PERU LIBRE,1675,11.666%,9.295%,ANCASH,CASMA,CASMA
DEMOCRACIA DIRECTA,46,0.320%,0.255%,ANCASH,CASMA,CASMA
ALIANZA PARA EL PROGRESO,1962,13.665%,10.887%,ANCASH,CASMA,CASMA
PARTIDO NACIONALISTA PERUANO,5,0.491%,0.331%,ANCASH,CASMA,COMANDANTE NOEL
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,0.589%,0.397%,ANCASH,CASMA,COMANDANTE NOEL
PARTIDO MORADO,25,2.453%,1.656%,ANCASH,CASMA,COMANDANTE NOEL
PERU PATRIA SEGURA,13,1.276%,0.861%,ANCASH,CASMA,COMANDANTE NOEL
VICTORIA NACIONAL,49,4.809%,3.245%,ANCASH,CASMA,COMANDANTE NOEL
ACCION POPULAR,60,5.888%,3.974%,ANCASH,CASMA,COMANDANTE NOEL
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,39,3.827%,2.583%,ANCASH,CASMA,COMANDANTE NOEL
PODEMOS PERU,131,12.856%,8.675%,ANCASH,CASMA,COMANDANTE NOEL
JUNTOS POR EL PERU,36,3.533%,2.384%,ANCASH,CASMA,COMANDANTE NOEL
PARTIDO POPULAR CRISTIANO - PPC,5,0.491%,0.331%,ANCASH,CASMA,COMANDANTE NOEL
FUERZA POPULAR,316,31.011%,20.927%,ANCASH,CASMA,COMANDANTE NOEL
UNION POR EL PERU,6,0.589%,0.397%,ANCASH,CASMA,COMANDANTE NOEL
RENOVACION POPULAR,83,8.145%,5.497%,ANCASH,CASMA,COMANDANTE NOEL
RENACIMIENTO UNIDO NACIONAL,5,0.491%,0.331%,ANCASH,CASMA,COMANDANTE NOEL
PARTIDO DEMOCRATICO SOMOS PERU,12,1.178%,0.795%,ANCASH,CASMA,COMANDANTE NOEL
PARTIDO POLITICO NACIONAL PERU LIBRE,112,10.991%,7.417%,ANCASH,CASMA,COMANDANTE NOEL
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CASMA,COMANDANTE NOEL
ALIANZA PARA EL PROGRESO,116,11.384%,7.682%,ANCASH,CASMA,COMANDANTE NOEL
PARTIDO NACIONALISTA PERUANO,33,1.067%,0.790%,ANCASH,CASMA,YAUTAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",56,1.811%,1.341%,ANCASH,CASMA,YAUTAN
PARTIDO MORADO,20,0.647%,0.479%,ANCASH,CASMA,YAUTAN
PERU PATRIA SEGURA,8,0.259%,0.192%,ANCASH,CASMA,YAUTAN
VICTORIA NACIONAL,124,4.010%,2.969%,ANCASH,CASMA,YAUTAN
ACCION POPULAR,252,8.150%,6.034%,ANCASH,CASMA,YAUTAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,95,3.072%,2.275%,ANCASH,CASMA,YAUTAN
PODEMOS PERU,63,2.038%,1.509%,ANCASH,CASMA,YAUTAN
JUNTOS POR EL PERU,205,6.630%,4.909%,ANCASH,CASMA,YAUTAN
PARTIDO POPULAR CRISTIANO - PPC,5,0.162%,0.120%,ANCASH,CASMA,YAUTAN
FUERZA POPULAR,913,29.528%,21.863%,ANCASH,CASMA,YAUTAN
UNION POR EL PERU,27,0.873%,0.647%,ANCASH,CASMA,YAUTAN
RENOVACION POPULAR,183,5.918%,4.382%,ANCASH,CASMA,YAUTAN
RENACIMIENTO UNIDO NACIONAL,10,0.323%,0.239%,ANCASH,CASMA,YAUTAN
PARTIDO DEMOCRATICO SOMOS PERU,68,2.199%,1.628%,ANCASH,CASMA,YAUTAN
PARTIDO POLITICO NACIONAL PERU LIBRE,569,18.402%,13.625%,ANCASH,CASMA,YAUTAN
DEMOCRACIA DIRECTA,4,0.129%,0.096%,ANCASH,CASMA,YAUTAN
ALIANZA PARA EL PROGRESO,457,14.780%,10.943%,ANCASH,CASMA,YAUTAN
PARTIDO NACIONALISTA PERUANO,4,2.778%,1.951%,ANCASH,CORONGO,ACO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.694%,0.488%,ANCASH,CORONGO,ACO
PARTIDO MORADO,5,3.472%,2.439%,ANCASH,CORONGO,ACO
PERU PATRIA SEGURA,3,2.083%,1.463%,ANCASH,CORONGO,ACO
VICTORIA NACIONAL,8,5.556%,3.902%,ANCASH,CORONGO,ACO
ACCION POPULAR,15,10.417%,7.317%,ANCASH,CORONGO,ACO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,3,2.083%,1.463%,ANCASH,CORONGO,ACO
PODEMOS PERU,3,2.083%,1.463%,ANCASH,CORONGO,ACO
JUNTOS POR EL PERU,12,8.333%,5.854%,ANCASH,CORONGO,ACO
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,CORONGO,ACO
FUERZA POPULAR,42,29.167%,20.488%,ANCASH,CORONGO,ACO
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,CORONGO,ACO
RENOVACION POPULAR,0,0.000%,0.000%,ANCASH,CORONGO,ACO
RENACIMIENTO UNIDO NACIONAL,3,2.083%,1.463%,ANCASH,CORONGO,ACO
PARTIDO DEMOCRATICO SOMOS PERU,4,2.778%,1.951%,ANCASH,CORONGO,ACO
PARTIDO POLITICO NACIONAL PERU LIBRE,31,21.528%,15.122%,ANCASH,CORONGO,ACO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CORONGO,ACO
ALIANZA PARA EL PROGRESO,10,6.944%,4.878%,ANCASH,CORONGO,ACO
PARTIDO NACIONALISTA PERUANO,2,1.075%,0.873%,ANCASH,CORONGO,BAMBAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
PARTIDO MORADO,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
PERU PATRIA SEGURA,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
VICTORIA NACIONAL,21,11.290%,9.170%,ANCASH,CORONGO,BAMBAS
ACCION POPULAR,33,17.742%,14.410%,ANCASH,CORONGO,BAMBAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,0.538%,0.437%,ANCASH,CORONGO,BAMBAS
PODEMOS PERU,8,4.301%,3.493%,ANCASH,CORONGO,BAMBAS
JUNTOS POR EL PERU,15,8.065%,6.550%,ANCASH,CORONGO,BAMBAS
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
FUERZA POPULAR,17,9.140%,7.424%,ANCASH,CORONGO,BAMBAS
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
RENOVACION POPULAR,3,1.613%,1.310%,ANCASH,CORONGO,BAMBAS
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
PARTIDO DEMOCRATICO SOMOS PERU,6,3.226%,2.620%,ANCASH,CORONGO,BAMBAS
PARTIDO POLITICO NACIONAL PERU LIBRE,49,26.344%,21.397%,ANCASH,CORONGO,BAMBAS
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CORONGO,BAMBAS
ALIANZA PARA EL PROGRESO,31,16.667%,13.537%,ANCASH,CORONGO,BAMBAS
PARTIDO NACIONALISTA PERUANO,25,4.808%,3.356%,ANCASH,CORONGO,CORONGO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8,1.538%,1.074%,ANCASH,CORONGO,CORONGO
PARTIDO MORADO,15,2.885%,2.013%,ANCASH,CORONGO,CORONGO
PERU PATRIA SEGURA,1,0.192%,0.134%,ANCASH,CORONGO,CORONGO
VICTORIA NACIONAL,40,7.692%,5.369%,ANCASH,CORONGO,CORONGO
ACCION POPULAR,67,12.885%,8.993%,ANCASH,CORONGO,CORONGO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,1.731%,1.208%,ANCASH,CORONGO,CORONGO
PODEMOS PERU,8,1.538%,1.074%,ANCASH,CORONGO,CORONGO
JUNTOS POR EL PERU,105,20.192%,14.094%,ANCASH,CORONGO,CORONGO
PARTIDO POPULAR CRISTIANO - PPC,2,0.385%,0.268%,ANCASH,CORONGO,CORONGO
FUERZA POPULAR,96,18.462%,12.886%,ANCASH,CORONGO,CORONGO
UNION POR EL PERU,1,0.192%,0.134%,ANCASH,CORONGO,CORONGO
RENOVACION POPULAR,14,2.692%,1.879%,ANCASH,CORONGO,CORONGO
RENACIMIENTO UNIDO NACIONAL,2,0.385%,0.268%,ANCASH,CORONGO,CORONGO
PARTIDO DEMOCRATICO SOMOS PERU,13,2.500%,1.745%,ANCASH,CORONGO,CORONGO
PARTIDO POLITICO NACIONAL PERU LIBRE,93,17.885%,12.483%,ANCASH,CORONGO,CORONGO
DEMOCRACIA DIRECTA,1,0.192%,0.134%,ANCASH,CORONGO,CORONGO
ALIANZA PARA EL PROGRESO,20,3.846%,2.685%,ANCASH,CORONGO,CORONGO
PARTIDO NACIONALISTA PERUANO,4,0.412%,0.312%,ANCASH,CORONGO,CUSCA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,0.412%,0.312%,ANCASH,CORONGO,CUSCA
PARTIDO MORADO,10,1.029%,0.779%,ANCASH,CORONGO,CUSCA
PERU PATRIA SEGURA,3,0.309%,0.234%,ANCASH,CORONGO,CUSCA
VICTORIA NACIONAL,71,7.305%,5.530%,ANCASH,CORONGO,CUSCA
ACCION POPULAR,73,7.510%,5.685%,ANCASH,CORONGO,CUSCA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,17,1.749%,1.324%,ANCASH,CORONGO,CUSCA
PODEMOS PERU,21,2.160%,1.636%,ANCASH,CORONGO,CUSCA
JUNTOS POR EL PERU,189,19.444%,14.720%,ANCASH,CORONGO,CUSCA
PARTIDO POPULAR CRISTIANO - PPC,2,0.206%,0.156%,ANCASH,CORONGO,CUSCA
FUERZA POPULAR,146,15.021%,11.371%,ANCASH,CORONGO,CUSCA
UNION POR EL PERU,9,0.926%,0.701%,ANCASH,CORONGO,CUSCA
RENOVACION POPULAR,17,1.749%,1.324%,ANCASH,CORONGO,CUSCA
RENACIMIENTO UNIDO NACIONAL,5,0.514%,0.389%,ANCASH,CORONGO,CUSCA
PARTIDO DEMOCRATICO SOMOS PERU,21,2.160%,1.636%,ANCASH,CORONGO,CUSCA
PARTIDO POLITICO NACIONAL PERU LIBRE,337,34.671%,26.246%,ANCASH,CORONGO,CUSCA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CORONGO,CUSCA
ALIANZA PARA EL PROGRESO,43,4.424%,3.349%,ANCASH,CORONGO,CUSCA
PARTIDO NACIONALISTA PERUANO,10,3.460%,2.439%,ANCASH,CORONGO,LA PAMPA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.346%,0.244%,ANCASH,CORONGO,LA PAMPA
PARTIDO MORADO,4,1.384%,0.976%,ANCASH,CORONGO,LA PAMPA
PERU PATRIA SEGURA,1,0.346%,0.244%,ANCASH,CORONGO,LA PAMPA
VICTORIA NACIONAL,23,7.958%,5.610%,ANCASH,CORONGO,LA PAMPA
ACCION POPULAR,26,8.997%,6.341%,ANCASH,CORONGO,LA PAMPA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,3.114%,2.195%,ANCASH,CORONGO,LA PAMPA
PODEMOS PERU,14,4.844%,3.415%,ANCASH,CORONGO,LA PAMPA
JUNTOS POR EL PERU,32,11.073%,7.805%,ANCASH,CORONGO,LA PAMPA
PARTIDO POPULAR CRISTIANO - PPC,1,0.346%,0.244%,ANCASH,CORONGO,LA PAMPA
FUERZA POPULAR,74,25.606%,18.049%,ANCASH,CORONGO,LA PAMPA
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,CORONGO,LA PAMPA
RENOVACION POPULAR,33,11.419%,8.049%,ANCASH,CORONGO,LA PAMPA
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,ANCASH,CORONGO,LA PAMPA
PARTIDO DEMOCRATICO SOMOS PERU,9,3.114%,2.195%,ANCASH,CORONGO,LA PAMPA
PARTIDO POLITICO NACIONAL PERU LIBRE,43,14.879%,10.488%,ANCASH,CORONGO,LA PAMPA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,CORONGO,LA PAMPA
ALIANZA PARA EL PROGRESO,9,3.114%,2.195%,ANCASH,CORONGO,LA PAMPA
PARTIDO NACIONALISTA PERUANO,3,1.277%,0.867%,ANCASH,CORONGO,YANAC
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.851%,0.578%,ANCASH,CORONGO,YANAC
PARTIDO MORADO,6,2.553%,1.734%,ANCASH,CORONGO,YANAC
PERU PATRIA SEGURA,0,0.000%,0.000%,ANCASH,CORONGO,YANAC
VICTORIA NACIONAL,16,6.809%,4.624%,ANCASH,CORONGO,YANAC
ACCION POPULAR,14,5.957%,4.046%,ANCASH,CORONGO,YANAC
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,0.426%,0.289%,ANCASH,CORONGO,YANAC
PODEMOS PERU,7,2.979%,2.023%,ANCASH,CORONGO,YANAC
JUNTOS POR EL PERU,21,8.936%,6.069%,ANCASH,CORONGO,YANAC
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,CORONGO,YANAC
FUERZA POPULAR,42,17.872%,12.139%,ANCASH,CORONGO,YANAC
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,CORONGO,YANAC
RENOVACION POPULAR,16,6.809%,4.624%,ANCASH,CORONGO,YANAC
RENACIMIENTO UNIDO NACIONAL,1,0.426%,0.289%,ANCASH,CORONGO,YANAC
PARTIDO DEMOCRATICO SOMOS PERU,9,3.830%,2.601%,ANCASH,CORONGO,YANAC
PARTIDO POLITICO NACIONAL PERU LIBRE,84,35.745%,24.277%,ANCASH,CORONGO,YANAC
DEMOCRACIA DIRECTA,1,0.426%,0.289%,ANCASH,CORONGO,YANAC
ALIANZA PARA EL PROGRESO,12,5.106%,3.468%,ANCASH,CORONGO,YANAC
PARTIDO NACIONALISTA PERUANO,8,4.938%,3.687%,ANCASH,CORONGO,YUPAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,ANCASH,CORONGO,YUPAN
PARTIDO MORADO,1,0.617%,0.461%,ANCASH,CORONGO,YUPAN
PERU PATRIA SEGURA,1,0.617%,0.461%,ANCASH,CORONGO,YUPAN
VICTORIA NACIONAL,17,10.494%,7.834%,ANCASH,CORONGO,YUPAN
ACCION POPULAR,39,24.074%,17.972%,ANCASH,CORONGO,YUPAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2,1.235%,0.922%,ANCASH,CORONGO,YUPAN
